timestamp,price,volatility_true,volume_real
2026-05-24 13:45:00,9.31,0.65,42529.65140608626
2026-05-24 13:50:00,9.3,0.65,113437.27726320029
2026-05-24 13:55:00,9.26,0.65,136730.06285467447
2026-05-24 14:00:00,9.26,0.65,36737.842334061774
2026-05-24 14:05:00,9.26,0.65,19691.205084799607
2026-05-24 14:10:00,9.24,0.5848813257014714,334508.58626050473
2026-05-24 14:15:00,9.18,0.8441489457497928,476253.64600929886
2026-05-24 14:20:00,9.19,0.8779198536385894,163544.43422775134
2026-05-24 14:25:00,9.21,0.934745085574804,10063.07421864925
2026-05-24 14:30:00,9.21,0.8864612999693638,21592.63208032893
2026-05-24 14:35:00,9.22,0.8679812636656596,38631.662407801145
2026-05-24 14:40:00,9.22,0.8288968468784257,10340.661733253717
2026-05-24 14:45:00,9.23,0.8114838096992646,37281.50953898855
2026-05-24 14:50:00,9.22,0.7776289690012259,42977.10656727408
2026-05-24 14:55:00,9.23,0.76378701797232,37792.6070561194
2026-05-24 15:00:00,9.23,0.7378104330910711,49815.493766560874
2026-05-24 15:00:00,9.23,0.7143164797231549,49815.493766560874
2026-05-24 15:05:00,9.22,0.6929586733895857,65516.21220512913
2026-05-24 15:10:00,9.22,0.6736853856050424,17962.96305092942
2026-05-24 15:15:00,9.22,0.6559339455337556,53496.49197636467
2026-05-24 15:20:00,9.21,0.6397936306878624,64270.93299260829
2026-05-24 15:25:00,9.22,0.6341054640377064,2067.581511707177
2026-05-24 15:25:00,9.22,0.6196491096236961,2067.581511707177
2026-05-24 15:30:00,9.22,0.606137885619004,49400.377412109796
2026-05-24 15:35:00,9.22,0.5934731585183618,778.0476599381444
2026-05-24 15:40:00,9.22,0.581570121051379,14269.60792142715
2026-05-24 15:45:00,9.23,0.5774618174684657,26575.57589865018
2026-05-24 15:50:00,9.23,0.5666265326393083,15492.442442304204
2026-05-24 15:55:00,9.23,0.5563792422652206,27943.872602088668
2026-05-24 16:00:00,9.22,0.5483464736131188,147997.16735099806
2026-05-24 16:05:00,9.23,0.5453171081473468,77984.51255084133
2026-05-24 16:10:00,9.23,0.5434021762159058,11032.745977190736
2026-05-24 16:15:00,9.24,0.4883875540631443,73026.38145900253
2026-05-24 16:20:00,9.25,0.4931401978962947,24000.740093015862
2026-05-24 16:25:00,9.24,0.49699548003036054,48435.39011028501
2026-05-24 16:30:00,9.23,0.4844915411640742,9444.33225270979
2026-05-24 16:35:00,9.22,0.28811030884188493,108605.63978527085
2026-05-24 16:40:00,9.22,0.2823324137049689,31331.68464148262
2026-05-24 16:45:00,9.22,0.25243241094778324,35600.87862593946
2026-05-24 16:50:00,9.23,0.25991408047095416,26043.36723313696
2026-05-24 16:55:00,9.24,0.259880917448044,57669.973875079915
2026-05-24 17:00:00,9.25,0.2665921645551938,37550.21040291683
2026-05-24 17:05:00,9.25,0.25984785782733494,14914.322492463194
2026-05-24 17:10:00,9.25,0.2501048966893208,28617.750247625612
2026-05-24 17:15:00,9.24,0.25232409681777757,20548.46293766857
2026-05-24 17:20:00,9.24,0.25232409681777757,14613.893524714269
2026-05-24 17:25:00,9.24,0.25232409681777757,22574.594264332816
2026-05-24 17:30:00,9.25,0.2500312794443043,53138.437906880055
2026-05-24 17:35:00,9.25,0.2500312794443043,34008.0550126009
2026-05-24 17:40:00,9.25,0.2500312794443043,7014.289281561248
2026-05-24 17:45:00,9.25,0.2392754590594794,40419.79265419173
2026-05-24 17:50:00,9.25,0.23233212984547183,40613.79522659313
2026-05-24 17:55:00,9.25,0.23233212984547186,3.21826756913718
2026-05-24 18:00:00,9.25,0.23233212984547183,52784.93147011307
2026-05-24 18:05:00,9.24,0.24274890693219284,15199.829210131653
2026-05-24 18:10:00,9.25,0.24992063293245903,15690.608106827935
2026-05-24 18:15:00,9.25,0.24271351379886585,8371.120010286977
2026-05-24 18:20:00,9.24,0.2521414548468623,50568.14650568884
2026-05-24 18:25:00,9.24,0.2521414548468623,17494.556712272857
2026-05-24 18:30:00,9.23,0.2521225620988628,58506.19348922077
2026-05-24 18:35:00,9.23,0.24382023488574905,14126.423163710111
2026-05-24 18:40:00,9.23,0.24382023488574905,41033.380698546665
2026-05-24 18:45:00,9.22,0.2426730581860179,41696.27637157312
2026-05-24 18:50:00,9.22,0.23225287923105103,6324.337983669024
2026-05-24 18:55:00,9.22,0.22451750257502576,26178.67322201352
2026-05-24 19:00:00,9.22,0.21583141217944993,66588.8632467173
2026-05-24 19:05:00,9.22,0.2060721211222482,19123.57227730758
2026-05-24 19:10:00,9.22,0.2060721211222482,66673.19875286572
2026-05-24 19:15:00,9.21,0.21585212485820038,51230.26338646107
2026-05-24 19:25:00,9.21,0.20471058614957738,42255.775482917714
2026-05-24 19:30:00,9.21,0.19221572907267603,163.78478677100213
2026-05-24 19:35:00,9.21,0.17808541762462626,3684.886291008585
2026-05-24 19:40:00,9.22,0.19229485526911205,47378.14799981465
2026-05-24 19:45:00,9.22,0.19229485526911205,54128.795053552094
2026-05-24 19:50:00,9.23,0.1952667931249963,0.778279295612723
2026-05-24 19:55:00,9.23,0.1952667931249963,11059.610925305831
2026-05-24 20:00:00,9.22,0.20484858620119886,100670.22552557943
2026-05-24 20:05:00,9.2,0.22766869686557617,64216.173938051594
2026-05-24 20:10:00,9.21,0.2395648877098135,58766.68660139101
2026-05-24 20:15:00,9.21,0.2395648877098135,13934.085913345374
2026-05-24 20:20:00,9.21,0.2395648877098135,44404.698204604276
2026-05-24 20:25:00,9.2,0.24574176951836557,54272.4917468853
2026-05-24 20:30:00,9.21,0.25680209729860737,41410.00227022073
2026-05-24 20:35:00,9.2,0.26257379732099195,34512.762041280024
2026-05-24 20:40:00,9.2,0.2568644210376572,354.5486079335735
2026-05-24 20:45:00,9.2,0.24589203897795794,116740.28170133485
2026-05-24 20:50:00,9.2,0.245892038977958,0.0642690844246607
2026-05-24 20:55:00,9.19,0.24597039577134186,19115.356345280245
2026-05-24 21:00:00,9.19,0.24597039577134186,57625.15442560842
2026-05-24 21:05:00,9.19,0.23985275596164216,23577.218241751685
2026-05-24 21:10:00,9.19,0.23985275596164218,45601.48232430348
2026-05-24 21:15:00,9.19,0.23985275596164218,701.357613198934
2026-05-24 21:20:00,9.2,0.24344717979576394,97.59952574278968
2026-05-24 21:25:00,9.18,0.2733497880584951,228306.12991216834
2026-05-24 21:30:00,9.15,0.32988644363707753,134023.5971043549
2026-05-24 21:35:00,9.11,0.4098954706756518,249292.19596373357
2026-05-24 21:40:00,9.09,0.42256980640155845,111506.47682333631
2026-05-24 21:45:00,9.08,0.4231234519627817,137658.63054160666
2026-05-24 21:50:00,9.08,0.4226522979307089,34701.894440908625
2026-05-24 21:55:00,9.08,0.4226522979307089,133202.51225690052
2026-05-24 22:00:00,9.1,0.45072843458551204,375256.297017238
2026-05-24 22:05:00,9.15,0.5694490872879876,145365.7887734126
2026-05-24 22:10:00,9.17,0.5821279286194546,90077.40218060231
